Inflections: 3180 forms
Lemma	Form	Analysis (UniMorph)
girtin	bi-ş-î-gir-im	V;PRS;SBJV;ArgNO1S;[ÎŞ];ArgAC3S
girtin	bi-ş-tan-gir-im	V;PRS;SBJV;ArgNO1S;[ÎŞ];ArgAC2P
girtin	bi-ş-yan-gir-im	V;PRS;SBJV;ArgNO1S;[ÎŞ];ArgAC3P
girtin	bi-m-gir-ît	V;PRS;SBJV;ArgNO2S;ArgAC1S
girtin	bi-y-gir-ît	V;PRS;SBJV;ArgNO2S;ArgAC3S
girtin	bi-man-gir-ît	V;PRS;SBJV;ArgNO2S;ArgAC1P
girtin	bi-yan-gir-ît	V;PRS;SBJV;ArgNO2S;ArgAC3P
girtin	bi-ş-gir-ît	V;PRS;SBJV;ArgNO2S;[ÎŞ]
girtin	bi-ş-im-gir-ît	V;PRS;SBJV;ArgNO2S;[ÎŞ];ArgAC1S
girtin	bi-ş-î-gir-ît	V;PRS;SBJV;ArgNO2S;[ÎŞ];ArgAC3S
girtin	bi-ş-man-gir-ît	V;PRS;SBJV;ArgNO2S;[ÎŞ];ArgAC1P
girtin	bi-ş-yan-gir-ît	V;PRS;SBJV;ArgNO2S;[ÎŞ];ArgAC3P
girtin	bi-m-gir-êt	V;PRS;SBJV;ArgNO3S;ArgAC1S
girtin	bi-t-gir-êt	V;PRS;SBJV;ArgNO3S;ArgAC2S
girtin	bi-y-gir-êt	V;PRS;SBJV;ArgNO3S;ArgAC3S
girtin	bi-man-gir-êt	V;PRS;SBJV;ArgNO3S;ArgAC1P
girtin	bi-tan-gir-êt	V;PRS;SBJV;ArgNO3S;ArgAC2P
girtin	bi-yan-gir-êt	V;PRS;SBJV;ArgNO3S;ArgAC3P
girtin	bi-ş-gir-êt	V;PRS;SBJV;ArgNO3S;[ÎŞ]
girtin	bi-ş-im-gir-êt	V;PRS;SBJV;ArgNO3S;[ÎŞ];ArgAC1S
girtin	bi-ş-it-gir-êt	V;PRS;SBJV;ArgNO3S;[ÎŞ];ArgAC2S
girtin	bi-ş-î-gir-êt	V;PRS;SBJV;ArgNO3S;[ÎŞ];ArgAC3S
girtin	bi-ş-man-gir-êt	V;PRS;SBJV;ArgNO3S;[ÎŞ];ArgAC1P
girtin	bi-ş-tan-gir-êt	V;PRS;SBJV;ArgNO3S;[ÎŞ];ArgAC2P
girtin	bi-ş-yan-gir-êt	V;PRS;SBJV;ArgNO3S;[ÎŞ];ArgAC3P
girtin	bi-t-gir-în	V;PRS;SBJV;ArgNO1P;ArgAC2S
girtin	bi-y-gir-în	V;PRS;SBJV;ArgNO1P;ArgAC3S
girtin	bi-tan-gir-în	V;PRS;SBJV;ArgNO1P;ArgAC2P
girtin	bi-yan-gir-în	V;PRS;SBJV;ArgNO1P;ArgAC3P
girtin	bi-ş-gir-în	V;PRS;SBJV;ArgNO1P;[ÎŞ]
girtin	bi-ş-it-gir-în	V;PRS;SBJV;ArgNO1P;[ÎŞ];ArgAC2S
girtin	bi-ş-î-gir-în	V;PRS;SBJV;ArgNO1P;[ÎŞ];ArgAC3S
girtin	bi-ş-tan-gir-în	V;PRS;SBJV;ArgNO1P;[ÎŞ];ArgAC2P
girtin	bi-ş-yan-gir-în	V;PRS;SBJV;ArgNO1P;[ÎŞ];ArgAC3P
girtin	bi-m-gir-in	V;PRS;SBJV;ArgNO2P;ArgAC1S
girtin	bi-y-gir-in	V;PRS;SBJV;ArgNO2P;ArgAC3S
girtin	bi-man-gir-in	V;PRS;SBJV;ArgNO2P;ArgAC1P
girtin	bi-yan-gir-in	V;PRS;SBJV;ArgNO2P;ArgAC3P
girtin	bi-ş-gir-in	V;PRS;SBJV;ArgNO2P;[ÎŞ]
girtin	bi-ş-im-gir-in	V;PRS;SBJV;ArgNO2P;[ÎŞ];ArgAC1S
girtin	bi-ş-î-gir-in	V;PRS;SBJV;ArgNO2P;[ÎŞ];ArgAC3S
girtin	bi-ş-man-gir-in	V;PRS;SBJV;ArgNO2P;[ÎŞ];ArgAC1P
girtin	bi-ş-yan-gir-in	V;PRS;SBJV;ArgNO2P;[ÎŞ];ArgAC3P
girtin	bi-m-gir-in	V;PRS;SBJV;ArgNO3P;ArgAC1S
girtin	bi-t-gir-in	V;PRS;SBJV;ArgNO3P;ArgAC2S
girtin	bi-y-gir-in	V;PRS;SBJV;ArgNO3P;ArgAC3S
girtin	bi-man-gir-in	V;PRS;SBJV;ArgNO3P;ArgAC1P
girtin	bi-tan-gir-in	V;PRS;SBJV;ArgNO3P;ArgAC2P
